lu_category,latitude,longitude,area_sqm
infrastructure,1.4154128470338396,104.04523783032285,785511.292460265
open,1.4357207273621946,104.06449229294722,2265.771846075
infrastructure,1.408224228078256,103.97836664595933,4724.293900135
open,1.406706757795835,103.7732115432905,5770.018461845
other,1.4010222467791404,103.7797650161719,84665.388732095
infrastructure,1.3522586136218513,103.79003944326963,70314.059655295
commercial,1.3350055244501062,103.64387439551547,4983.1833771
commercial,1.3362182766249957,103.6450299745517,10276.378484
commercial,1.3345868794695928,103.64450599164574,4511.0044165
commercial,1.3337424976280794,103.64408145118601,4556.02269245
commercial,1.3342287406092197,103.64416945569019,4511.295446
commercial,1.3354275983619064,103.64537345719691,4510.0489455
commercial,1.334995389712071,103.64519974228006,4510.4597945
commercial,1.3334697248734604,103.64712452470876,11982.0761125
commercial,1.3313336745945847,103.65044441056463,5774.6546676
commercial,1.3314541832955937,103.64891266588874,5760.487453
commercial,1.3330422572982021,103.6456209254237,12031.9074693
commercial,1.3341345597499443,103.64655045305122,11982.7941055
commercial,1.3337547020369735,103.64974205958934,6802.4876134
commercial,1.334561613869846,103.64626365786668,5000.6830975
commercial,1.32939556707819,103.64862367261632,5831.1879793
commercial,1.3309377716031512,103.65020852702203,5760.40405225
commercial,1.3344782171905003,103.65048747283383,6450.9887422
commercial,1.3368070180353404,103.64723773100876,88262.203952865
commercial,1.333043576665942,103.6519241290159,15765.88920439
commercial,1.3300776497918185,103.64910366890179,5760.3797705
commercial,1.3327940357641932,103.64882581647159,9209.2217865
commercial,1.3333165101490787,103.64933113550096,8004.504332745
commercial,1.3303069781835606,103.64961593569765,5760.3586847
commercial,1.3318400337220078,103.64785695756959,8331.066099
commercial,1.331572178907137,103.64728834361776,8331.26772
commercial,1.332347762683129,103.64607046576138,12031.557021
commercial,1.3312018635197804,103.64867563057749,5760.346316
commercial,1.3339286934620311,103.64575149670337,5000.654621
commercial,1.3329968096013916,103.64478273841718,3658.54910285
commercial,1.3337000723121644,103.64520693565507,5000.640852
commercial,1.3327010965087436,103.64492136547385,401.3033955
commercial,1.3309676141683584,103.64712452612764,9341.679234295
commercial,1.3316835095922475,103.64942494227299,5760.3842179
commercial,1.3305079876402026,103.64802378148242,5760.498529
commercial,1.3320090195967311,103.6511570056623,13879.601400505
commercial,1.3297107757947337,103.64816534868835,424.976448
commercial,1.3317691852851754,103.65011559123359,291.1838307
commercial,1.3306742377601402,103.64847679705906,5760.4035675
commercial,1.333694935087717,103.65120552200004,17159.57416235
commercial,1.3332576649133805,103.64779270907152,11923.04748345
commercial,1.3320114005016788,103.64974535276046,5774.54425525
commercial,1.3306223740019054,103.64991222943563,5760.5163171
commercial,1.3342330055998275,103.64595494186672,5000.79109
commercial,1.3348796535816707,103.64998518613682,2158.8695715
commercial,1.3348493027948756,103.64689505273441,401.221793
commercial,1.333312923449629,103.64509053965666,5000.58889185
commercial,1.3352395592563782,103.64916125752447,45460.330400955
commercial,1.3349873757889004,103.64651480331355,4435.865485
commercial,1.3301537268897394,103.64782702612742,5831.122105
commercial,1.3296131094331647,103.64896409189036,5760.37059
commercial,1.3319988706014674,103.64643696100639,11971.9942355
commercial,1.3343833537598728,103.64985584549487,6786.3862198
commercial,1.3323526053884207,103.64833845678902,8331.3703032
commercial,1.332609256423055,103.65016535118498,13757.44081
infrastructure,1.3301470618402058,103.64530237832433,4416.3580736
infrastructure,1.3345363068896066,103.64940630282447,1885.379548205
infrastructure,1.3263765084534258,103.64170725909182,3241.6096913
infrastructure,1.3325768241029954,103.64757115788983,2726.109121
infrastructure,1.3281667721681554,103.64339896616056,3045.7499943
commercial,1.3287659018795335,103.64638654026733,5762.52069
commercial,1.330339594914798,103.64270244926865,404.7252665
commercial,1.3302486477190036,103.64211681911536,9597.33075125
commercial,1.3272907503837035,103.64590768090079,291.022656
commercial,1.3281864856102092,103.64762339338431,5762.5326555
commercial,1.3296191837463291,103.64546786967881,8202.8992295
commercial,1.3316941245183465,103.64430715451509,11637.3455185
commercial,1.3289383170457647,103.64110193329904,10686.51120804
commercial,1.3299749976065038,103.6461142728684,8202.7093772
commercial,1.329192014859267,103.64506651223243,8202.6289555
commercial,1.3284504331878755,103.64609014838955,5762.5590785
commercial,1.3315889064265949,103.64355308300414,6497.3380579
commercial,1.3296522409213076,103.64738421426762,5730.701686
commercial,1.3280489128583217,103.646009774541,5762.5844342
commercial,1.3285019541410337,103.64791979084706,5762.304304
commercial,1.3311065638400685,103.64487365497976,11636.9631765
commercial,1.3304812139738036,103.64649136493367,7973.40605445
commercial,1.330665915545157,103.64258221470722,6538.4406745
commercial,1.3254498898628773,103.64502153689612,9777.54737689
commercial,1.3280832629176451,103.6472295377428,5762.302879
commercial,1.330081307016404,103.6437402324563,11630.1679965
commercial,1.3277308429697492,103.64422161388077,6932.1552585
commercial,1.3259786655088455,103.64560627431752,8384.5031896
commercial,1.3292477022679379,103.64713608220174,5762.740323
commercial,1.3306811871286746,103.64343147449429,11631.1144008
commercial,1.32805891086189,103.64387694465931,6932.157854
commercial,1.327019019724788,103.64638887587446,5696.55387025
commercial,1.3284609221602293,103.64287115411328,9537.3731775
commercial,1.3277216274160357,103.64556741096553,5678.069418
commercial,1.329675845073498,103.64182500646376,9539.29881955
commercial,1.3321033421740989,103.64370675961581,6497.382205
commercial,1.3265709559961356,103.64449695394553,24860.35631003
commercial,1.3288436254946943,103.64832120244635,5726.3581884
commercial,1.3264058209436114,103.6459891171149,8499.92062
commercial,1.3281278720356084,103.64239816100887,10942.2633943
commercial,1.330639574632675,103.64188672258918,189.596034
commercial,1.3273031813554268,103.64679347046452,5762.55915995
commercial,1.3325135839240472,103.64423434074335,7116.959336
commercial,1.3312103171762897,103.64311497158492,6497.2551728
commercial,1.3285285687304895,103.64482627214028,8864.5810255
commercial,1.3306745951260475,103.64532753155659,11834.692551
commercial,1.3295638219690993,103.64428397235346,11827.722327
commercial,1.3289322282196059,103.64683968297932,5762.8407095
commercial,1.3273887002815765,103.64357369299229,13864.66575445
commercial,1.3290153153154594,103.64323194163762,9785.579302
commercial,1.3275555575141087,103.64703059508766,5762.472556
infrastructure,1.3308813015351628,103.64616111795583,891.771138
commercial,1.3342152534709804,103.65066905871234,157.46994565
infrastructure,1.3319171916763068,103.64545548217254,21463.536319255
infrastructure,1.3287631280262366,103.6441323696033,15494.9766757
infrastructure,1.3249050571521108,103.64822092047292,9903.42768455
infrastructure,1.3307987800650938,103.64186603394101,12231.36394845
infrastructure,1.3344388423724325,103.64529217393017,7742.1217806
infrastructure,1.3341345379917149,103.64786187726072,20445.14858904
infrastructure,1.3315640598420262,103.64834721392654,5387.68920765
infrastructure,1.3292395430135566,103.64617290464932,5335.40626965
infrastructure,1.3335012199479548,103.65004734580258,4323.48716525
infrastructure,1.3296203048124564,103.6525709052919,10400.598703545
residential,1.418454657767884,103.90880528685986,464.34803284
residential,1.4143294688790016,103.90332412858629,868.56558025
residential,1.4160035813805791,103.90605883951476,586.28905761
residential,1.4147116411246434,103.90402450712732,432.2282635
