sn,outlet_name,full_address,building,street,unit,postal_code,outlet_type
27,17 Block 257 Bangkit Road #01-49 SPPL Branch - Buk,17 Block 257 Bangkit Road #01-49 SPPL Branch - Bukit Panjang 670257,,,,670257,Branch
28,18 Block 505 Canberra Link #01-02 SPPL Branch - Ca,18 Block 505 Canberra Link #01-02 SPPL Branch - Canberra 750505,,,,750505,Branch
29,19 Block 36 Chai Chee Avenue #01-167 SPPL Branch -,19 Block 36 Chai Chee Avenue #01-167 SPPL Branch - Chai Chee 461036,,,,461036,Branch
30,20 324K Changi Road SPPL Branch - Changi Road 4197,20 324K Changi Road SPPL Branch - Changi Road 419799,,,,419799,Branch
31,21 5 Cheong Chin Nam Road SPPL Branch - Cheong Chi,21 5 Cheong Chin Nam Road SPPL Branch - Cheong Chin Nam Road 599730,,,,599730,Branch
32,22 Block 52 Chin Swee Road #01-65/69 SPPL Branch -,22 Block 52 Chin Swee Road #01-65/69 SPPL Branch - Chin Swee 160052,,,,160052,Branch
33,23 People's Park Centre/ 101 Upper Cross Street #0,23 People's Park Centre/ 101 Upper Cross Street #01-12 SPPL Branch - Chinatown 058357,,,,058357,Branch
34,24 Chinatown Point/ 133 New Bridge Road #B1-06 SPP,24 Chinatown Point/ 133 New Bridge Road #B1-06 SPPL Branch - Chinatown Point 059413,,,,059413,Branch
35,25 Block 64 Circuit Road #01-355 SPPL Branch - Cir,25 Block 64 Circuit Road #01-355 SPPL Branch - Circuit Road 64 370064,,,,370064,Branch
36,26 Block 88 Circuit Road #01-961 SPPL Branch - Cir,26 Block 88 Circuit Road #01-961 SPPL Branch - Circuit Road 88 370088,,,,370088,Branch
37,27 Block 325 Clementi Avenue 5 #01-145 SPPL Branch,27 Block 325 Clementi Avenue 5 #01-145 SPPL Branch - Clementi N3 120325,,,,120325,Branch
38,28 Block 722 Clementi West Street 2 #01-164 SPPL B,28 Block 722 Clementi West Street 2 #01-164 SPPL Branch - Clementi N7 120722,,,,120722,Branch
39,29 Block 446 Clementi Avenue 3 #01-183 SPPL Branch,29 Block 446 Clementi Avenue 3 #01-183 SPPL Branch - Clementi Town Centre 120446,,,,120446,Branch
40,30 Block 116 Commonwealth Crescent #01-135 SPPL Br,30 Block 116 Commonwealth Crescent #01-135 SPPL Branch - Commonwealth Crescent 140116,,,,140116,Branch
41,31 Block 8 Empress Road #01-35 SPPL Branch - Empre,31 Block 8 Empress Road #01-35 SPPL Branch - Empress Road 260008,,,,260008,Branch
42,32 Block 445 Fajar Road #02-540 SPPL Branch - Faja,32 Block 445 Fajar Road #02-540 SPPL Branch - Fajar Road 670445,,,,670445,Branch
43,33 Funan/ 107 North Bridge Road #B1-02 SPPL Branch,33 Funan/ 107 North Bridge Road #B1-02 SPPL Branch - Funan 179105,,,,179105,Branch
44,34 Block 57 Geylang Bahru #01-3503 SPPL Branch - G,34 Block 57 Geylang Bahru #01-3503 SPPL Branch - Geylang Bahru 330057,,,,330057,Branch
45,35 Block 21 Ghim Moh Road #01-161 SPPL Branch - Gh,35 Block 21 Ghim Moh Road #01-161 SPPL Branch - Ghim Moh 270021,,,,270021,Branch
46,36 Block 46 Holland Drive #01-371/373 SPPL Branch ,36 Block 46 Holland Drive #01-371/373 SPPL Branch - Holland Drive 270046,,,,270046,Branch
47,37 Block 106 Hougang Avenue 1 #01-1209/1211 SPPL B,37 Block 106 Hougang Avenue 1 #01-1209/1211 SPPL Branch - Hougang N1 530106,,,,530106,Branch
48,38 Block 211 Hougang Street 21 #01-309 SPPL Branch,38 Block 211 Hougang Street 21 #01-309 SPPL Branch - Hougang N2 530211,,,,530211,Branch
49,39 Block 322 Hougang Avenue 5 #01-70 SPPL Branch -,39 Block 322 Hougang Avenue 5 #01-70 SPPL Branch - Hougang N3 530322,,,,530322,Branch
50,40 IMM Building/ 2 Jurong East Street 21 #02-63 SP,40 IMM Building/ 2 Jurong East Street 21 #02-63 SPPL Branch - IMM 609601,,,,609601,Branch
51,41 Block 7 Jalan Batu #01-99 SPPL Branch - Jalan B,41 Block 7 Jalan Batu #01-99 SPPL Branch - Jalan Batu 431007,,,,431007,Branch
52,42 Block 43 Jalan Tiga #01-08 SPPL Branch - Jalan ,42 Block 43 Jalan Tiga #01-08 SPPL Branch - Jalan Tiga 390043,,,,390043,Branch
53,43 Block 351 Jurong East Street 31 #01-93 SPPL Bra,43 Block 351 Jurong East Street 31 #01-93 SPPL Branch - Jurong East 600351,,,,600351,Branch
54,44 Block 276 Jurong West Street 25 #01-05 SPPL Bra,44 Block 276 Jurong West Street 25 #01-05 SPPL Branch - Jurong West N2 640276,,,,640276,Branch
55,45 Block 498 Jurong West Street 41 #01-472 SPPL Br,45 Block 498 Jurong West Street 41 #01-472 SPPL Branch - Jurong West N4 640498,,,,640498,Branch
56,46 Block 508 Jurong West Street 52 #01-166 SPPL Br,46 Block 508 Jurong West Street 52 #01-166 SPPL Branch - Jurong West N5 640508,,,,640508,Branch
57,47 Block 803 King George's Avenue #01-200/202 SPPL,47 Block 803 King George's Avenue #01-200/202 SPPL Branch - King George's Ave 200803,,,,200803,Branch
