outlet_name,open_mon,close_mon,open_tue,close_tue,open_wed,close_wed,open_thu,close_thu,open_fri,close_fri,open_sat,close_sat,open_sun,close_sun,open_time,close_time,open_hours_daily,has_varying_hours
Singapore Pools Commonwealth Crescent Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Sheng Siong Woodlands Drive 16,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Sheng Siong Tampines Avenue 9,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Sheng Siong Senja Close,,,,,,,,,,,,,,,,,0.0,0
Sheng Siong Jalan Berseh,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Sheng Siong Clementi Avenue 6,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Sheng Siong Canberra Street,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Shell Station Tuas South Avenue 5,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Seng Yeok Chan Agency,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Rangoon Betting Centre - Lottery Lobby (Public),10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,8.0,0
Prime Century Square,,,,,,,,,,,,,,,,,0.0,0
Prime Bidadari,,,,,,,,,,,,,,,,,0.0,0
Poon Long Heng,,,,,,,,,,,,,,,,,0.0,0
NTUC FP Punggol Walk,,,,,,,,,,,,,,,,,0.0,0
NTUC FairPrice The Woodgrove,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Tampines North Drive 2,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Sengkang East Drive,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Killiney Road,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Greenridge Shopping Centre,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Majestic Betting Centre - Lottery Lobby (Public),10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,8.0,0
Lee Wah TV & Electric Co,,,,,,,,,,,,,,,,,0.0,0
Keppel Credit Union Co-operative Ltd,,,,,,,,,,,,,,,,,0.0,0
Jurong East Betting Centre - Lottery Lobby (Public),,,,,,,,,,,,,,,,,0.0,0
Hao Mart Westgate,,,,,,,,,,,,,,,,,0.0,0
Hao Mart Punggol Walk,,,,,,,,,,,,,,,,,0.0,0
Giant Tanjong Katong,,,,,,,,,,,,,,,,,0.0,0
Giant Plantation Plaza,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Geylang International FC,,,,,,,,,,,,,,,,,0.0,0
Fortune Supermarket Sembawang Drive,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Food Republic i12 Katong,,,,,,,,,,,,,,,,,0.0,0
Cold Storage Aperia Mall,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,10.0,0
Choice Decor Co-Operative Society Ltd,,,,,,,,,,,,,,,,,0.0,0
China Square Betting Centre - Level 2,,,,,,,,,,,,,,,,,0.0,0
Cheers Woodlands Centre,,,,,,,,,,,,,,,,,0.0,0
Cheers Northshore Plaza II,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Cheers Maude Rd,,,,,,,,,,,,,,,,,0.0,0
Bukit Merah Betting Centre,,,,,,,,,,,,,,,,,0.0,0
Bedok Betting Centre - Lottery Lobby (Public),10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,10.00 am,6.00 pm,8.0,0
ACE Signature Geylang Road,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Store Tai Thong Crescent,,,,,,,,,,,,,,,,,0.0,0
7-Eleven Store Esplanade MRT Station,,,,,,,,,,,,,,,,,0.0,0
7-Eleven Store Bedok Road,,,,,,,,,,,,,,,,,0.0,0
7-Eleven Kim Tian,,,,,,,,,,,,,,,,,0.0,0
