outlet_name,detail_url,group1_wins,group2_wins,combined_wins
Singapore Pools Hougang N3 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NTMwMw%3d%3d,6,23,29
Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjQwMw%3d%3d,6,43,49
Singapore Pools Funan Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MTIwMg%3d%3d,6,12,18
Singapore Pools Circuit Road 64 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5MzcwMQ%3d%3d,6,14,20
Singapore Pools Bukit Batok Central Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjUwMw%3d%3d,6,50,56
Singapore Pools Ang Mo Kio N6 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5NTYwMw%3d%3d,6,38,44
NTUC FairPrice Yishun Ring Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTc2MDc%3d,6,30,36
NTUC FairPrice Serangoon North Avenue 1,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU1MDI%3d,6,32,38
NTUC FairPrice Havelock Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MTc%3d,6,10,16
NTUC FairPrice Changi Business Park,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ4MDE%3d,6,23,29
Ng Nam Thye Trading - Taman Jurong,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTYxMDU%3d,6,27,33
Li Thoe Trading,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTM4MDM%3d,6,32,38
Li Li Cheng Supermarket (Punggol) Pte Ltd,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTgyMDU%3d,6,23,29
Cold Storage Compass One,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU0MDY%3d,6,39,45
Chua Yan Kee,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE0MTU%3d,6,8,14
Chng Siow Eng Agency,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUxMDM%3d,6,26,32
Cheng Tai Boon Beng,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTIyMTM%3d,6,21,27
Cheng Chew Wah Agency - Marine Terrace,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ1MDE%3d,6,26,32
7-Eleven Store McCallum Street,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTYwNQ%3d%3d,6,37,43
Wong Teck Chow Enterprise (Private) Limited,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4MTA%3d,5,5,10
U Stars Sumang Walk,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTgyMDY%3d,5,2,7
Tuck Lee Long,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU2MDE%3d,5,23,28
Tay Ah Tho Trading,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTI0MDE%3d,5,25,30
Tan Kai Huat Provision Shop,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUzMDk%3d,5,17,22
Singapore Pools Sim Lim Square Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MTE4Ng%3d%3d,5,28,33
Singapore Pools Silat Avenue Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MTYwNA%3d%3d,5,13,18
Singapore Pools Siglap Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NDUwMQ%3d%3d,5,19,24
Singapore Pools Choa Chu Kang Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NjgwMg%3d%3d,5,38,43
Singapore Pools Chinatown Point Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MDE5OA%3d%3d,5,77,82
Singapore Pools Chin Swee Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MTYwMg%3d%3d,5,19,24
Singapore Pools Cheong Chin Nam Road Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NTE5MQ%3d%3d,5,26,31
Singapore Pools Beo Crescent Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MTYwMQ%3d%3d,5,25,30
Sheng Siong Junction 9,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTc2MTM%3d,5,15,20
Prime Chai Chee Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ2MTA%3d,5,16,21
Overseas Emporium (Private) Limited,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUxNw%3d%3d,5,30,35
OCN (Singapore) Pte Ltd,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTEyMTI%3d,5,34,39
NTUC FairPrice Xpress Macpherson Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTM0MDI%3d,5,26,31
NTUC FairPrice Marsiling MRT Station,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTczMDU%3d,5,24,29
NTUC FairPrice Lorong 4 Toa Payoh,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTMxMDM%3d,5,20,25
NTUC FairPrice Joo Koon,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTYyMDI%3d,5,23,28
NTUC FairPrice Jem,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTYwMDY%3d,5,52,57
NTUC FairPrice Boon Lay Place,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY0MDE%3d,5,46,51
Nel's Store,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ3MDI%3d,5,14,19
Nalayanee Trading Enterprise,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUzMDY%3d,5,17,22
Lucky Hill,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTkwNQ%3d%3d,5,14,19
Kim Chwee Trading,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTYwMDI%3d,5,23,28
Hin Teck Leong Trading Company - Rowell Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTIwMTI%3d,5,18,23
Giant Parkway Parade,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ0MDQ%3d,5,16,21
Everstream Trading,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY1MDI%3d,5,49,54
Dawn Florist,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTgwMDE%3d,5,23,28
Cold Storage Northpoint,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTc2MTI%3d,5,25,30
Chuan Hao Departmental Store,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTEzMDM%3d,5,8,13
Cheers New Upper Changi Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQ2MDk%3d,5,21,26
Cheers Haig Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQzMDM%3d,5,16,21
Afro Asia Co Pte Ltd,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTc1MDE%3d,5,19,24
7-Eleven Store Sixth Avenue,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTI3MDY%3d,5,14,19
7-Eleven Store Choa Chu Kang Drive,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY4MDg%3d,5,26,31
7-Eleven Store Changi Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQxMDE%3d,5,19,24
Yeo Soon Huat,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTMxMDE%3d,4,9,13
U Stars Keat Hong Link,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY4MTA%3d,4,7,11
Teo Khar Bee Agency,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTMzMDI%3d,4,26,30
Tan Ah Leck Trading - Bukit Batok Street 11,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY1MDE%3d,4,29,33
Springdale Garments Co,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU2MDM%3d,4,43,47
Singapore Pools Yishun N2 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NzYwMg%3d%3d,4,30,34
Singapore Pools Teban Gardens Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjAwMQ%3d%3d,4,24,28
Singapore Pools Jalan Tiga Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1MTE4OQ%3d%3d,4,42,46
Singapore Pools Ghim Moh Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4MjcwMQ%3d%3d,4,28,32
Singapore Pools Geylang Bahru Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MzMwMQ%3d%3d,4,19,23
Singapore Pools Circuit Road 88 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5MzcwMg%3d%3d,4,26,30
Singapore Pools Bukit Gombak Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjUwMg%3d%3d,4,34,38
Singapore Pools Bedok North Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NDYwMQ%3d%3d,4,27,31
Sheng Siong Tanglin Halt Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE0MTg%3d,4,22,26
Sheng Moh Fruits & Provision Store,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTEyMTM%3d,4,13,17
