outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,region,geocode_status,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,neighborhood_type,dominant_landuse_1000m,landuse_diversity_1000m,win_rate_hdb_1000m
Vitatron & Medical Co,058963,Authorised Retailer,7,28,35,matched,1.28294362945788,103.8433288831,60 SMITH STREET KRETA AYER CONSERVATION AREA SINGAPORE 058963,OUTRAM,CENTRAL REGION,OK,63193,240311,67324,45469,89775,20,0.2612,371485,834828,145362,253396,219515,66,0.3286,1141075,1221787,191117,620892,780196,172,0.4842,commercial,commercial,5,0.530303
Teo Sook Cheng Agency,760293,Authorised Retailer,7,65,72,matched,1.43611425409216,103.837605235958,293 YISHUN STREET 22 SINGAPORE 760293,YISHUN,NORTH REGION,OK,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,residential,residential,5,0.309013
Soh Choo Trading,730019,Authorised Retailer,7,37,44,matched,1.44328204285332,103.777294228046,19 MARSILING LANE SINGAPORE 730019,WOODLANDS,NORTH REGION,OK,322367,146713,28001,55691,73934,47,0.6767,1085026,275067,28001,302541,460965,148,0.7918,1805224,712068,69198,680106,577711,273,0.7113,residential,residential,5,0.297297
Singapore Pools Tampines N4 Branch,520481,Branch,7,20,27,matched,1.36162956418494,103.953251115722,481 TAMPINES STREET 44 SINGAPORE 520481,TAMPINES,EAST REGION,OK,467905,0,48538,44221,27740,124,0.953,1498106,0,123661,292104,183645,395,0.9619,3725557,153594,191379,517418,513776,758,0.9388,residential,residential,4,0.068354
Singapore Pools Serangoon Central Branch,550254,Branch,7,41,48,matched,1.35406229913885,103.871216925982,254 SERANGOON CENTRAL DRIVE SINGAPORE 550254,SERANGOON,NORTH-EAST REGION,OK,489632,0,83592,11685,73202,85,0.9271,1938751,19983,107199,233348,112832,144,0.9644,4491553,81356,110969,411788,254081,204,0.9708,residential,residential,5,0.333333
Singapore Pools Potong Pasir Branch,350148,Branch,7,17,24,matched,1.3323543597317,103.86777426102,148 POTONG PASIR AVENUE 1 SINGAPORE 350148,TOA PAYOH,CENTRAL REGION,OK,389539,0,36968,137857,15096,46,0.9567,1131357,264558,68225,333350,85770,122,0.796,3014163,756603,70513,767890,300316,398,0.7939,residential,residential,5,0.196721
Singapore Pools Lucky Plaza Branch,238863,Branch,7,67,74,matched,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,ORCHARD,CENTRAL REGION,OK,190944,259655,29829,15202,8739,0,0.4285,1308759,469272,75524,139916,55643,0,0.7265,3252781,632509,158648,761879,111408,0,0.824,mixed,residential,5,0.0
Singapore Pools Holland Drive Branch,270046,Branch,7,56,63,matched,1.30878949399241,103.792695569227,46 HOLLAND DRIVE SINGAPORE 270046,QUEENSTOWN,CENTRAL REGION,OK,290562,99992,36967,15740,72988,44,0.7229,1569490,368362,57215,154703,145070,130,0.801,3934725,545378,63284,484688,297923,191,0.873,residential,residential,5,0.484615
Singapore Pools Bukit Panjang Branch,670257,Branch,7,46,53,matched,1.37850873559017,103.773212348159,257 BANGKIT ROAD BUKIT PANJANG NEIGHBOURHOOD CENTRE SINGAPORE 670257,BUKIT PANJANG,WEST REGION,OK,388738,3232,30420,55940,103748,80,0.9563,1284674,3232,43309,116866,1091945,231,0.9813,2333586,14731,117139,388545,1320600,380,0.9703,residential,residential,5,0.229437
Singapore Pools Bishan N2 Branch,570279,Branch,7,36,43,matched,1.35722283118337,103.843785252615,279 BISHAN STREET 24 SINGAPORE 570279,BISHAN,CENTRAL REGION,OK,480550,51671,37254,102806,18175,82,0.8766,1159545,363218,70633,265441,584999,159,0.7499,2862300,664920,123394,823791,684358,380,0.801,residential,residential,5,0.27044
Singapore Pools Ang Mo Kio N4 Branch,560447,Branch,7,45,52,matched,1.36750371103856,103.855897952833,447 ANG MO KIO AVENUE 10 LITTLE CHAMPS SCHOOLHOUSE (MONTESSORI) PTE. LTD. SINGAPORE 560447,ANG MO KIO,NORTH-EAST REGION,OK,418517,0,32646,68130,38241,82,0.9638,1611995,199591,128801,249215,101581,209,0.8639,3040520,711429,236955,464649,577171,324,0.7919,residential,residential,5,0.248804
