outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,region,geocode_status,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,neighborhood_type,dominant_landuse_1000m,landuse_diversity_1000m,win_rate_hdb_1000m
Tan Kai Huat Provision Shop,530123,Authorised Retailer,5,17,22,matched,1.35338313924634,103.88625894527,123 HOUGANG AVENUE 1 SINGAPORE 530123,HOUGANG,NORTH-EAST REGION,OK,453621,3462,6463,54362,59091,60,0.9856,1598482,439355,115374,215798,96882,123,0.7692,2989319,1441841,150181,404200,205881,205,0.6689,residential,residential,5,0.178862
Singapore Pools Sim Lim Square Branch,188504,Branch,5,28,33,matched,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,ROCHOR,CENTRAL REGION,OK,99107,193316,90083,81527,20626,22,0.3769,536067,782349,148825,286044,104524,62,0.4161,1261523,1440445,245296,991525,627096,122,0.4696,mixed,commercial,5,0.532258
Singapore Pools Silat Avenue Branch,160150,Branch,5,13,18,matched,1.27707706824333,103.831425856916,150 SILAT AVENUE SINGAPORE 160150,BUKIT MERAH,CENTRAL REGION,OK,273116,71021,0,182076,34739,22,0.7936,1291786,154077,10688,411645,112584,194,0.8905,2250107,585688,115379,587246,285001,369,0.782,residential,residential,5,0.092784
Singapore Pools Siglap Branch,459060,Branch,5,19,24,matched,1.31205682541822,103.922171053658,697D EAST COAST ROAD FRANKEL ESTATE SINGAPORE 459060,BEDOK,EAST REGION,OK,541383,0,2624,7948,15078,0,0.9976,1888382,2133,2624,308342,256477,6,0.9982,3258582,436936,43599,424788,496159,75,0.8773,residential,residential,5,4.0
Singapore Pools Chinatown Point Branch,059413,Branch,5,77,82,matched,1.28533894878838,103.845015574621,133 NEW BRIDGE ROAD CHINATOWN LIBRARY SINGAPORE 059413,OUTRAM,CENTRAL REGION,OK,39322,279763,76120,43471,47242,21,0.1958,258628,845753,161064,191752,286300,43,0.268,964772,1230513,198099,737216,846845,127,0.4445,commercial,commercial,5,1.906977
Singapore Pools Chin Swee Branch,160052,Branch,5,19,24,matched,1.28708278284998,103.841580109275,52 CHIN SWEE ROAD SINGAPORE 160052,OUTRAM,CENTRAL REGION,OK,131890,166770,47010,53864,105557,23,0.4495,518084,638607,158154,250395,237307,59,0.4542,1507554,1282622,268290,737367,733721,199,0.5368,mixed,commercial,5,0.40678
Singapore Pools Cheong Chin Nam Road Branch,599730,Branch,5,26,31,matched,1.34248911530733,103.775237429914,5 CHEONG CHIN NAM ROAD SINGAPORE 599730,BUKIT TIMAH,CENTRAL REGION,OK,433475,23006,69877,39844,23429,11,0.8899,1420468,23006,92816,395014,219603,21,0.9548,2446608,36093,92816,494861,2419744,21,0.968,residential,residential,5,1.47619
Singapore Pools Beo Crescent Branch,160036,Branch,5,25,30,matched,1.28835977080873,103.827056911096,36 BEO CRESCENT CS MONTESSORI KINDERGARTEN @ TIONG BAHRU SINGAPORE 160036,BUKIT MERAH,CENTRAL REGION,OK,454463,15386,1634,85270,32916,69,0.9656,1773764,164127,111037,176900,91338,265,0.8928,3455096,418829,151307,686030,301226,375,0.8772,residential,residential,5,0.113208
Sheng Siong Junction 9,768897,Authorised Retailer,5,15,20,matched,1.4331228398318,103.84166098599,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897,YISHUN,NORTH REGION,OK,454049,40898,9004,77355,23314,104,0.9099,1275794,268477,122100,205383,98145,276,0.8022,2518974,555342,173225,459078,429144,542,0.8023,residential,residential,5,0.072464
Prime Chai Chee Road,461025,Authorised Retailer,5,16,21,matched,1.32328959946584,103.924149636877,25A CHAI CHEE ROAD SINGAPORE 461025,BEDOK,EAST REGION,OK,417883,107127,37039,51592,19369,53,0.7764,1646955,471615,222520,151374,79759,131,0.751,4057081,616593,282828,332112,353626,306,0.8471,residential,residential,5,0.160305
Overseas Emporium (Private) Limited,059108,Authorised Retailer,5,30,35,matched,1.28413397178419,103.842519972666,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,OUTRAM,CENTRAL REGION,OK,79403,193374,83344,46958,84855,24,0.34,386732,798267,149389,267658,228903,67,0.3458,1325682,1224779,201490,649865,762011,187,0.5183,commercial,commercial,5,0.522388
OCN (Singapore) Pte Ltd,120501,Authorised Retailer,5,34,39,matched,1.31231254760543,103.759312529215,501 WEST COAST DRIVE SINGAPORE 120501,CLEMENTI,WEST REGION,OK,364790,82943,34305,86103,58576,23,0.7924,1379914,586902,91842,176389,162111,104,0.6926,2405055,1217942,178865,351309,252357,246,0.6561,residential,residential,5,0.375
NTUC FairPrice Xpress Macpherson Road,348501,Authorised Retailer (FairPrice),5,26,31,matched,1.32869206523005,103.872188869956,110 MACPHERSON ROAD ESSO MACPHERSON SINGAPORE 348501,GEYLANG,CENTRAL REGION,OK,228234,249539,0,52165,219,0,0.4777,1169931,685558,44340,282613,77686,120,0.6275,2630358,1000580,70513,798606,279296,280,0.7202,mixed,residential,5,0.258333
NTUC FairPrice Marsiling MRT Station,739044,Authorised Retailer (FairPrice),5,24,29,matched,1.43252114855026,103.774074641403,71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,WOODLANDS,NORTH REGION,OK,501649,0,41197,74148,28321,88,0.9621,1230180,376934,51197,294024,373210,202,0.7573,1861475,912656,79197,524943,1656134,285,0.6663,residential,residential,5,0.143564
NTUC FairPrice Lorong 4 Toa Payoh,310192,Authorised Retailer (FairPrice),5,20,25,matched,1.33166814812852,103.850487239503,192 LORONG 4 TOA PAYOH SINGAPORE 310192,TOA PAYOH,CENTRAL REGION,OK,241673,117007,45015,10695,170562,50,0.6544,1511838,225417,112241,234612,217867,289,0.8478,3261210,478488,149318,853916,367110,466,0.8578,residential,residential,5,0.086505
NTUC FairPrice Joo Koon,629117,Authorised Retailer (FairPrice),5,23,28,matched,1.32561767765205,103.678409741897,1 JOO KOON CIRCLE FAIRPRICE HUB SINGAPORE 629117,PIONEER,WEST REGION,OK,0,469641,0,0,0,0,0.0,0,1851998,0,20719,0,0,0.0,0,3488434,0,20719,0,0,0.0,commercial,commercial,2,0.0
NTUC FairPrice Jem,608549,Authorised Retailer (FairPrice),5,52,57,matched,1.33329334473462,103.743278742341,50 JURONG GATEWAY ROAD JEM SINGAPORE 608549,JURONG EAST,WEST REGION,OK,13549,183642,55941,63528,18161,11,0.164,691834,659594,55941,124208,90875,92,0.5115,1257459,1300898,126313,240593,395991,217,0.4919,mixed,residential,5,0.619565
NTUC FairPrice Boon Lay Place,640221,Authorised Retailer (FairPrice),5,46,51,matched,1.34633552457315,103.712430373455,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221,JURONG WEST,WEST REGION,OK,371480,0,42009,81113,25357,76,0.9492,1393918,643236,88868,257165,91160,236,0.6765,2633309,1469986,190131,492653,403144,478,0.6355,residential,residential,5,0.216102
Nel's Store,470741,Authorised Retailer,5,14,19,matched,1.33773088769346,103.922272109998,741 BEDOK RESERVOIR ROAD RESERVOIR VILLAGE SINGAPORE 470741,BEDOK,EAST REGION,OK,237275,0,33122,27609,27356,40,0.9388,1103384,207481,77684,137326,676400,115,0.8226,2049745,574407,175748,639630,742464,272,0.7635,residential,residential,5,0.165217
Nalayanee Trading Enterprise,534839,Authorised Retailer,5,17,22,matched,1.33843759646141,103.886437101573,127 UPPER PAYA LEBAR ROAD SINGAPORE 534839,TOA PAYOH,CENTRAL REGION,OK,45054,405445,0,12232,3431,0,0.1,528562,1063681,10093,388559,54217,59,0.333,1927045,2130760,12737,732841,206309,184,0.475,commercial,commercial,5,0.372881
Lucky Hill,090112,,5,14,19,scraped,1.27446978398017,103.825878114028,112 BUKIT PURMEI ROAD P.A.W.(PEOPLE ANIMAL WELLNESS) VETERINARY SINGAPORE 090112,BUKIT MERAH,CENTRAL REGION,OK,488457,0,12985,103602,47833,34,0.9871,1178868,155507,29062,157590,108910,142,0.8753,1853061,525614,79873,546547,900756,295,0.77,residential,residential,5,0.133803
Kim Chwee Trading,600256,Authorised Retailer,5,23,28,matched,1.34416527251747,103.738263367232,256 JURONG EAST STREET 24 SINGAPORE 600256,JURONG EAST,WEST REGION,OK,489107,0,44833,78674,59929,62,0.958,1424941,0,122919,288477,414523,248,0.9603,2675956,339170,193558,551665,896592,452,0.8641,residential,residential,4,0.112903
Hin Teck Leong Trading Company - Rowell Road,200640,,5,18,23,scraped,1.30743547948389,103.854713903431,640 ROWELL ROAD SINGAPORE 200640,ROCHOR,CENTRAL REGION,OK,177962,250704,37590,39297,24793,31,0.422,877589,593345,157670,262976,150216,96,0.5873,1541909,1416775,207887,978202,422025,177,0.5198,mixed,residential,5,0.239583
Giant Parkway Parade,449269,Authorised Retailer (FairPrice),5,16,21,matched,1.301041960873,103.905505005847,80 MARINE PARADE ROAD MARINE PARADE POST OFFICE SINGAPORE 449269,MARINE PARADE,CENTRAL REGION,OK,258680,110610,14136,5616,14876,23,0.6931,1107774,155182,28577,80470,437881,46,0.8688,2433852,188743,32444,220720,489596,79,0.9228,residential,residential,5,0.456522
Everstream Trading,650283,Authorised Retailer,5,49,54,matched,1.34694365753899,103.757539380939,283 BUKIT BATOK EAST AVENUE 3 GOMBAK PLACE SINGAPORE 650283,BUKIT BATOK,WEST REGION,OK,522250,0,45304,77950,15445,108,0.9601,958365,343673,45304,185531,526388,160,0.7281,2596491,728235,82297,254119,1266120,275,0.7742,residential,residential,5,0.3375
Dawn Florist,538719,Authorised Retailer,5,23,28,matched,1.37924528796406,103.887832026893,21 HOUGANG STREET 51 MONTE KIDZ WORLD (HOUGANG) SINGAPORE 538719,HOUGANG,NORTH-EAST REGION,OK,414070,0,16525,245811,23311,95,0.9808,1187038,158371,122839,499011,125843,363,0.8503,3438379,264917,143587,807794,416703,739,0.9125,residential,residential,5,0.077135
Cold Storage Northpoint,769098,Branch,5,25,30,matched,1.42969848626288,103.835776491468,930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098,YISHUN,NORTH REGION,OK,351355,14894,79431,51094,61080,77,0.8775,1381402,16937,172486,357443,214726,348,0.9343,2981205,508015,235256,524027,470758,610,0.832,residential,residential,5,0.086207
Chuan Hao Departmental Store,131019,Authorised Retailer,5,8,13,matched,1.30735380231593,103.78454843987,19A DOVER CRESCENT MULTI STOREY CAR PARK SINGAPORE 131019,QUEENSTOWN,CENTRAL REGION,OK,321348,13350,0,31766,10789,49,0.9601,959406,166029,40861,693285,117730,87,0.8401,2242959,556100,46930,2617405,255508,116,0.7964,residential,residential,5,0.149425
Cheers New Upper Changi Road,462026,Branch,5,21,26,matched,1.3233383625591,103.934207271148,26 NEW UPPER CHANGI ROAD SINGAPORE 462026,BEDOK,EAST REGION,OK,260046,75980,117386,18402,79633,76,0.703,1666252,387331,198149,163215,157974,212,0.784,4299277,477148,344552,404028,249835,407,0.8732,residential,residential,5,0.122642
Cheers Haig Road,430012,,5,16,21,scraped,1.31561468089698,103.896129520656,12 HAIG ROAD HAIG VIEW SINGAPORE 430012,GEYLANG,CENTRAL REGION,OK,279188,178622,64768,19455,18676,34,0.5962,1237435,384434,70685,175622,54088,66,0.752,3564301,812580,85515,469216,118836,230,0.8083,residential,residential,5,0.318182
Afro Asia Co Pte Ltd,760604,Authorised Retailer,5,19,24,matched,1.42171348124463,103.83554529409,604 YISHUN STREET 61 NEE SOON CENTRAL MEADOWS SINGAPORE 760604,YISHUN,NORTH REGION,OK,414860,0,0,89191,91218,99,1.0,1173284,14894,135753,295527,417799,300,0.9375,3539852,21855,246267,483660,541827,572,0.9619,residential,residential,5,0.08
7-Eleven Store Sixth Avenue,276472,Authorised Retailer (7-Eleven),5,14,19,matched,1.33109923987903,103.795114609687,6 SIXTH AVENUE SINGAPORE 276472,BUKIT TIMAH,CENTRAL REGION,OK,364700,4602,2102,0,11293,0,0.9848,1975723,4602,5519,84832,46296,0,0.9963,4012551,17689,5519,534916,322622,0,0.9949,mixed,residential,5,0.0
7-Eleven Store Choa Chu Kang Drive,682689,Authorised Retailer (7-Eleven),5,26,31,matched,1.40313482841143,103.749793059631,689B CHOA CHU KANG DRIVE SINGAPORE 682689,CHOA CHU KANG,WEST REGION,OK,409705,158589,0,13601,83444,83,0.7209,753180,905366,8500,61724,148579,159,0.4544,1058913,2294312,8500,138173,272693,227,0.3163,mixed,commercial,5,0.194969
7-Eleven Store Changi Road,419701,Authorised Retailer (7-Eleven),5,19,24,matched,1.31621766760551,103.898830016087,38 CHANGI ROAD SINGAPORE 419701,GEYLANG,CENTRAL REGION,OK,311569,110063,64768,18313,18044,41,0.7071,1452940,297562,71252,189416,59128,80,0.8171,3330850,823074,103764,443744,127038,190,0.7945,residential,residential,5,0.3
Yeo Soon Huat,310070,Authorised Retailer,4,9,13,matched,1.33444874946936,103.852333287558,70 LORONG 4 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310070,TOA PAYOH,CENTRAL REGION,OK,415070,82015,45015,52340,86166,88,0.8072,1587824,282645,50722,200471,230096,323,0.8397,3276366,469329,165152,749404,354341,533,0.8589,residential,residential,5,0.040248
U Stars Keat Hong Link,680817,Authorised Retailer,4,7,11,matched,1.37754385007462,103.749700036701,817 KEAT HONG LINK KEAT HONG MIRAGE SINGAPORE 680817,CHOA CHU KANG,WEST REGION,OK,380917,0,32839,142915,18819,86,0.9603,1615927,24169,40241,406272,110792,268,0.9736,2951667,45591,139189,617204,690363,446,0.9633,residential,residential,5,0.041045
Teo Khar Bee Agency,150084,Authorised Retailer,4,26,30,matched,1.28708575062296,103.818851050403,84 REDHILL LANE SINGAPORE 150084,BUKIT MERAH,CENTRAL REGION,OK,368798,24236,67739,63224,41070,65,0.8739,1088152,358261,76756,365622,231258,170,0.7396,3164177,618383,126208,553072,681676,439,0.8257,residential,residential,5,0.176471
Tan Ah Leck Trading - Bukit Batok Street 11,650151,Authorised Retailer,4,29,33,matched,1.34874703502592,103.744211483999,151 BUKIT BATOK STREET 11 SINGAPORE 650151,BUKIT BATOK,WEST REGION,OK,452296,0,34996,123719,47499,116,0.9641,1465613,127004,94525,252309,345675,272,0.8967,3138034,448092,188367,513419,670126,611,0.8563,residential,residential,5,0.121324
Springdale Garments Co,560408,Authorised Retailer,4,43,47,matched,1.36209053459188,103.854587757902,408 ANG MO KIO AVENUE 10 TECK GHEE SQUARE SINGAPORE 560408,ANG MO KIO,NORTH-EAST REGION,OK,348195,140402,26191,73611,22283,49,0.7018,1132878,161289,89904,158546,462398,163,0.851,3201078,421150,274209,494918,605373,404,0.8567,residential,residential,5,0.288344
Singapore Pools Yishun N2 Branch,760256,Branch,4,30,34,matched,1.43409342098238,103.839979155802,256 YISHUN RING ROAD YISHUN SUNSHINE SINGAPORE 760256,YISHUN,NORTH REGION,OK,602271,29176,42669,79680,25283,107,0.9251,1288898,406512,122101,191058,98490,275,0.7427,2279210,557385,252209,438831,397390,529,0.7787,residential,residential,5,0.123636
Singapore Pools Teban Gardens Branch,600037,Branch,4,24,28,matched,1.32053143645806,103.742652199249,37 TEBAN GARDENS ROAD SINGAPORE 600037,JURONG EAST,WEST REGION,OK,228218,40224,25539,51863,61695,31,0.8197,414804,386737,25539,62732,73344,63,0.517,1108418,1299705,53615,197770,375702,63,0.4611,mixed,residential,5,0.444444
Singapore Pools Jalan Tiga Branch,390043,Branch,4,42,46,matched,1.30813368626522,103.884729523853,43 JALAN TIGA PINE GREEN SINGAPORE 390043,GEYLANG,CENTRAL REGION,OK,413429,20137,0,41477,21997,62,0.9536,1388700,266063,3412,192767,186662,84,0.8385,3091060,599707,29514,390964,771560,176,0.8348,residential,residential,5,0.547619
Singapore Pools Ghim Moh Branch,270021,Branch,4,28,32,matched,1.31010302594118,103.788545950724,21 GHIM MOH ROAD SINGAPORE 270021,QUEENSTOWN,CENTRAL REGION,OK,395723,45719,21013,15740,53537,50,0.8784,1573016,273341,46930,168505,166194,108,0.8432,3368062,462432,63284,772611,265212,162,0.8731,residential,residential,5,0.296296
Singapore Pools Geylang Bahru Branch,330057,Branch,4,19,23,matched,1.32353780675049,103.86914775647,57 GEYLANG BAHRU GEYLANG BAHRU VILLE SINGAPORE 330057,KALLANG,CENTRAL REGION,OK,335698,77591,8020,63000,20419,49,0.8063,1091222,620991,50558,201957,104393,107,0.6334,2676822,1313874,52519,563700,199499,362,0.6685,mixed,residential,5,0.214953
Singapore Pools Circuit Road 88 Branch,370088,Branch,4,26,30,matched,1.32354065999154,103.885851746701,88 CIRCUIT ROAD SINGAPORE 370088,GEYLANG,CENTRAL REGION,OK,535587,53100,0,51603,26209,95,0.9098,1308946,569714,0,270641,55521,160,0.6967,2190592,2203983,27553,353313,104509,212,0.4985,residential,residential,4,0.1875
Singapore Pools Bukit Gombak Branch,650374,Branch,4,34,38,matched,1.35798291106742,103.750736425731,374 BUKIT BATOK STREET 31 SINGAPORE 650374,BUKIT BATOK,WEST REGION,OK,358950,0,36836,22798,222514,68,0.9535,1328783,37963,36836,165455,913247,219,0.9598,3138327,71118,239191,427142,1149603,469,0.9447,residential,residential,5,0.173516
Singapore Pools Bedok North Branch,460509,Branch,4,27,31,matched,1.33317541870197,103.931265025162,509 BEDOK NORTH STREET 3 SINGAPORE 460509,BEDOK,EAST REGION,OK,542585,0,30226,89172,14304,59,0.9736,1606954,16679,255412,135810,234538,257,0.9232,3013120,355966,371163,658233,796999,472,0.8552,residential,residential,5,0.120623
Sheng Siong Tanglin Halt Road,141088,Authorised Retailer,4,22,26,matched,1.30178506364186,103.798226442608,88 TANGLIN HALT ROAD CARE CORNER FAMILY SERVICE CENTRE (QUEENSTOWN) SINGAPORE 141088,QUEENSTOWN,CENTRAL REGION,OK,349561,77521,0,68719,53687,52,0.8185,1597041,360247,36202,180258,263348,155,0.8102,3305915,832556,53321,422672,372946,241,0.795,residential,residential,5,0.167742
Sheng Moh Fruits & Provision Store,128632,Authorised Retailer,4,13,17,matched,1.30836839483661,103.762107951222,29 JALAN MAS PUTEH PASIR PANJANG GARDENS SINGAPORE 128632,CLEMENTI,WEST REGION,OK,384404,62367,0,69586,102463,32,0.8604,1167720,545622,143280,247831,183926,140,0.6675,2277114,1170351,178865,646229,586297,216,0.6526,residential,residential,5,0.121429
Prime Keat Hong,680253,Authorised Retailer,4,20,24,matched,1.37677749544409,103.744548948082,253 CHOA CHU KANG AVENUE 1 CHOA CHU KANG MARKET SINGAPORE 680253,CHOA CHU KANG,WEST REGION,OK,646914,16632,0,83466,42050,118,0.9749,1795518,45591,90395,421447,154088,320,0.953,2822236,45591,96779,626782,644606,426,0.9683,residential,residential,5,0.075
NTUC FairPrice Yung Kuang Road,610063,,4,15,19,scraped,1.33221936370928,103.722686866956,63 YUNG KUANG ROAD SINGAPORE 610063,JURONG WEST,WEST REGION,OK,418312,70840,28317,58876,15641,69,0.8357,831091,745598,58253,114960,709265,132,0.5261,1049719,2288521,58253,169303,1139789,140,0.3176,mixed,residential,5,0.143939
NTUC FairPrice Yew Tee Point,689578,Authorised Retailer (FairPrice),4,34,38,matched,1.39696992267974,103.746443198224,21 CHOA CHU KANG NORTH 6 YEWTEE POINT SINGAPORE 689578,CHOA CHU KANG,WEST REGION,OK,462636,7270,8500,61204,66431,105,0.9759,1120442,113333,8500,153959,236065,246,0.9053,1377809,819189,8500,161088,410353,271,0.6266,residential,residential,5,0.154472
NTUC FairPrice Woodlands Civic Centre,730900,Authorised Retailer (FairPrice),4,30,34,matched,1.43505698925938,103.787004308703,900 SOUTH WOODLANDS DRIVE CPF WOODLANDS SERVICE CENTRE SINGAPORE 730900,WOODLANDS,NORTH REGION,OK,440315,73322,0,87174,19219,52,0.8572,1558431,182377,52147,254997,239767,302,0.8837,3006121,483620,80148,736427,491498,598,0.8533,residential,residential,5,0.112583
NTUC FairPrice Thomson Plaza,574408,Authorised Retailer (FairPrice),4,37,41,matched,1.35466902496424,103.830919782333,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408,BISHAN,CENTRAL REGION,OK,427690,34933,0,10891,8977,13,0.9245,1797786,220371,11473,72407,24105,36,0.8886,2407376,419274,11473,400509,460924,81,0.8502,residential,residential,5,1.138889
NTUC FairPrice Tampines Street 83,521866,Authorised Retailer (FairPrice),4,21,25,matched,1.35536454193962,103.934477898052,866A TAMPINES STREET 83 TAMPINES CENTRAL COMMUNITY COMPLEX SINGAPORE 521866,TAMPINES,EAST REGION,OK,656319,4495,0,85714,44358,134,0.9932,1396570,537393,49837,273327,136825,334,0.7165,2421969,963073,135391,763789,545075,515,0.7072,residential,residential,5,0.07485
NTUC FairPrice Tampines Street 44,520475,Authorised Retailer (FairPrice),4,15,19,matched,1.36032331939995,103.953129640464,475 TAMPINES STREET 44 SINGAPORE 520475,TAMPINES,EAST REGION,OK,494150,0,48538,44221,27760,127,0.9553,1705787,0,90540,287130,188184,399,0.9748,3827371,173261,175717,472840,496404,752,0.9375,residential,residential,4,0.047619
NTUC FairPrice Rivervale Mall,545082,Authorised Retailer (FairPrice),4,13,17,matched,1.39219777838449,103.904471600025,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,SENGKANG,NORTH-EAST REGION,OK,493440,0,22536,41290,6533,119,0.9782,1988460,19667,64974,261525,184336,471,0.9748,3549409,25597,91566,607683,362466,918,0.9805,residential,residential,5,0.036093
NTUC FairPrice Punggol Oasis Terraces,820681,Authorised Retailer (FairPrice),4,20,24,matched,1.40259581502678,103.912962428692,681 PUNGGOL DRIVE NKF DIALYSIS CENTRE SINGAPORE 820681,PUNGGOL,NORTH-EAST REGION,OK,410373,13270,0,78438,41385,121,0.9687,1673213,21180,0,250435,271162,374,0.9875,2902793,247405,100260,566409,1009967,573,0.9085,residential,residential,4,0.064171
NTUC FairPrice Parkway Parade,449269,Authorised Retailer (FairPrice),4,25,29,matched,1.301041960873,103.905505005847,80 MARINE PARADE ROAD MARINE PARADE POST OFFICE SINGAPORE 449269,MARINE PARADE,CENTRAL REGION,OK,258680,110610,14136,5616,14876,23,0.6931,1107774,155182,28577,80470,437881,46,0.8688,2433852,188743,32444,220720,489596,79,0.9228,residential,residential,5,0.630435
NTUC FairPrice Marine Parade Central,449411,Authorised Retailer (FairPrice),4,12,16,matched,1.30134714783304,103.907183612906,6 MARINE PARADE CENTRAL SINGAPORE 449411,MARINE PARADE,CENTRAL REGION,OK,197153,91164,8964,11297,25949,28,0.6783,1029550,152787,28577,81718,427655,62,0.862,2289804,185946,32444,268334,491937,78,0.9194,residential,residential,5,0.258065
NTUC FairPrice Limbang Shopping Centre,680533,Authorised Retailer (FairPrice),4,20,24,matched,1.39206782341869,103.743102282335,533 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680533,CHOA CHU KANG,WEST REGION,OK,326796,14509,0,55993,46770,91,0.9575,933431,39402,8500,123190,269719,196,0.9555,1825196,112410,8500,341128,398389,386,0.9401,residential,residential,5,0.122449
NTUC FairPrice E!Hub @ Downtown East,519599,Authorised Retailer (FairPrice),4,15,19,matched,1.3766980678365,103.95514122442,1 PASIR RIS CLOSE ACES MONTESSORI KIDZ KINDERGARTEN SINGAPORE 519599,PASIR RIS,EAST REGION,OK,239199,0,0,33933,211848,26,1.0,1116973,11525,33122,102671,856552,174,0.9758,2264543,301726,68749,249354,1168379,481,0.8724,residential,residential,5,0.109195
NTUC FairPrice Clementi Avenue 2,120352,Authorised Retailer (FairPrice),4,19,23,matched,1.31427860227337,103.771350557894,352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352,CLEMENTI,WEST REGION,OK,392214,0,35585,50830,18240,50,0.9584,1504789,3788,111419,769974,148564,161,0.9633,4087988,17819,167701,952265,305410,246,0.9762,residential,residential,5,0.142857
Ng Nam Thye Trading - Ang Mo Kio Avenue 3,569922,Authorised Retailer,4,28,32,matched,1.36929729654979,103.84715944541,51 ANG MO KIO AVENUE 3 51 @ AMK SINGAPORE 569922,ANG MO KIO,NORTH-EAST REGION,OK,366103,19300,108154,8873,17265,91,0.8513,1592959,19300,228174,155461,559198,270,0.9275,3299366,204060,380365,979822,924221,527,0.8985,residential,residential,5,0.118519
Lim Heng Ee Trading Pte. Ltd.,380016,Authorised Retailer,4,17,21,matched,1.31543175817283,103.871651573593,16 UPPER BOON KENG ROAD BOON KENG VILLE SINGAPORE 380016,KALLANG,CENTRAL REGION,OK,397951,3945,244,49914,29755,42,0.9899,891977,763950,1965,71945,116786,104,0.5386,1887454,1566006,63036,308818,743143,240,0.5457,mixed,residential,5,0.201923
Golden Lagoon Trading,730136,Authorised Retailer,4,22,26,matched,1.43832145748732,103.777752029807,136 MARSILING ROAD SINGAPORE 730136,WOODLANDS,NORTH REGION,OK,467106,31244,0,64270,139647,103,0.9373,1315871,316666,69198,162739,386812,238,0.7936,2680864,882359,79197,851492,654976,355,0.7469,residential,residential,5,0.109244
Goh Geok Kwee Agency - Bukit Merah,150124,Authorised Retailer,4,21,25,matched,1.28582331821306,103.803532208512,124 BUKIT MERAH LANE 1 SINGAPORE 150124,BUKIT MERAH,CENTRAL REGION,OK,164994,128718,47495,139565,9285,19,0.5532,1491171,369023,57388,187100,246662,103,0.7926,2549283,1051814,90742,426028,810194,310,0.7028,residential,residential,5,0.242718
Giant Beauty World Centre,588177,Authorised Retailer,4,28,32,matched,1.34241264188642,103.776539385406,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,BUKIT TIMAH,CENTRAL REGION,OK,401394,20110,87661,39844,47175,7,0.8744,1427095,23006,92816,395014,214051,21,0.955,2589813,36093,92816,560843,2430195,21,0.9697,residential,residential,5,1.52381
Chua Hong Kim Trading,550237,Authorised Retailer,4,34,38,matched,1.35381198342473,103.87013457465,237 SERANGOON AVENUE 3 SINGAPORE 550237,SERANGOON,NORTH-EAST REGION,OK,509911,0,83592,4088,25809,90,0.9296,1889970,19983,105806,235333,124600,139,0.9638,4444602,81356,110969,395175,232334,197,0.9705,residential,residential,5,0.273381
Chop Yeo Thong Heng,370076,Authorised Retailer,4,13,17,matched,1.32551693484516,103.889903603926,76 CIRCUIT ROAD MACPHERSON BLOSSOM SINGAPORE 370076,GEYLANG,CENTRAL REGION,OK,289393,204874,0,40342,7399,72,0.5855,1058483,946133,0,174301,43307,148,0.528,2073547,2281211,70183,412170,96193,268,0.4765,mixed,residential,4,0.114865
Chong Hoe Tong,310021,Authorised Retailer,4,22,26,matched,1.33544818177957,103.857495922448,21 LORONG 7 TOA PAYOH KIM KEAT PALM SINGAPORE 310021,TOA PAYOH,CENTRAL REGION,OK,525944,84177,0,44226,7235,92,0.862,1313124,229239,45015,237987,153041,270,0.8414,3407966,398658,146033,606008,345528,521,0.8807,residential,residential,5,0.096296
Cheng Chew Wah Agency - Bedok South Road,460017,Authorised Retailer,4,23,27,matched,1.32014883000628,103.935563486677,17 BEDOK SOUTH ROAD SINGAPORE 460017,BEDOK,EAST REGION,OK,346249,56079,24258,84635,46011,48,0.8401,1555382,387331,172696,128709,130147,146,0.7761,3792745,426008,299990,392609,462586,307,0.8725,residential,residential,5,0.184932
