outlet_name,address,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,x_svy21,y_svy21,geocode_status,proxy_500m,proxy_750m,proxy_1000m,proxy_1500m,area_type,region,pa_hdb_units,win_rate_1000m
Singapore Pools Clementi Town Centre Branch,Singapore Pools Clementi Town Centre BranchBlock 446 Clementi Avenue 3 #01-183 Singapore 120446,120446,Branch,9,68,77,matched,1.31251305732378,103.764927758669,446 CLEMENTI AVENUE 3 SINGAPORE 120446,CLEMENTI,20388.7509816196,32756.6470919531,OK,26730,26730,26730,26730,residential,WEST REGION,26730,0.00288066
Singapore Pools Bedok Town Centre Branch,Singapore Pools Bedok Town Centre BranchBlock 204 Bedok North Street 1 #01-415 Singapore 460204,460204,Branch,9,54,63,matched,1.32635909520616,103.929995919076,204 BEDOK NORTH STREET 1 BEDOK TOWN CENTRE SINGAPORE 460204,BEDOK,38759.2131650466,34287.7768086586,OK,0,0,0,64415,residential,EAST REGION,64415,0.0
NTUC FairPrice Lot 1 Shoppers' Mall,NTUC FairPrice Lot 1 Shoppers' Mall21 Choa Chu Kang Avenue 4 #B1-03 Lot 1 Shoppers' Mall Singapore 689812,689812,Authorised Retailer (FairPrice),9,30,39,matched,1.38493874036122,103.745022476677,21 CHOA CHU KANG AVENUE 4 CHOA CHU KANG LIBRARY SINGAPORE 689812,CHOA CHU KANG,18173.7710486762,40765.1880696882,OK,0,49026,49026,49026,residential,WEST REGION,49026,0.0007955
Nan Huat Wine Store,Nan Huat Wine StoreBlock 513 Bishan Street 13 #01-508 Singapore 570513,570513,Authorised Retailer,9,40,49,matched,1.34946633905282,103.849467349041,513 BISHAN STREET 13 SINGAPORE 570513,BISHAN,29797.1776404409,36842.653455928,OK,0,0,0,20072,residential,CENTRAL REGION,20072,0.0
Evercool Engineering,Evercool EngineeringBlock 95 Lorong 4 Toa Payoh #01-50 Singapore 310095,310095,Authorised Retailer,9,34,43,matched,1.33889072150034,103.848993316875,95 LORONG 4 TOA PAYOH TOA PAYOH PALM SPRING SINGAPORE 310095,TOA PAYOH,29744.4306543283,35673.2553532459,OK,0,0,0,42185,residential,CENTRAL REGION,42185,0.0
Tan Boon Tin Agency,Tan Boon Tin AgencyBlk 56 Marine Terrace #01-253 Singapore 440056,440056,,8,23,31,scraped,1.30560569433107,103.91537607851,56 MARINE TERRACE MARINE TERRACE HAVEN SINGAPORE 440056,MARINE PARADE,37132.2465671236,31992.9112824537,OK,0,0,0,0,residential,CENTRAL REGION,7857,0.0
Singapore Pools Pasir Ris N2 Branch,Singapore Pools Pasir Ris N2 Branch259 Pasir Ris Street 21 #02-29 Loyang Point Singapore 510259,510259,Branch,8,45,53,matched,1.36645364010349,103.964598499523,259 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510259,PASIR RIS,42609.8986984398,38721.4156571645,OK,0,0,0,0,residential,EAST REGION,29654,0.0
Singapore Pools Ang Mo Kio N7 Branch,Singapore Pools Ang Mo Kio N7 BranchBlock 726 Ang Mo Kio Avenue 6 #01-4158 Singapore 560726,560726,Branch,8,46,54,matched,1.37278358482637,103.84644830631,726 ANG MO KIO AVENUE 6 SINGAPORE 560726,ANG MO KIO,29461.1778987525,39420.9536785576,OK,0,0,0,51310,residential,NORTH-EAST REGION,51310,0.0
Singapore Pools Ang Mo Kio N2 Branch,Singapore Pools Ang Mo Kio N2 BranchBlock 202 Ang Mo Kio Avenue 3 #01-1662/1664 Singapore 560202,560202,Branch,8,43,51,matched,1.36844644010937,103.844516260527,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,ANG MO KIO,29246.1670971215,38941.3731856421,OK,0,0,0,51310,residential,NORTH-EAST REGION,51310,0.0
Seah Geok Eng Agency - Rivervale Plaza,Seah Geok Eng Agency - Rivervale Plaza118 Rivervale Drive #01-15 Rivervale Plaza Singapore 540118,540118,Authorised Retailer,8,42,50,matched,1.3849334568541,103.901558018707,118 RIVERVALE DRIVE FC/MARKET RIVERVALE PLAZA SINGAPORE 540118,SENGKANG,35594.1773097906,40764.5300437231,OK,0,0,0,0,residential,NORTH-EAST REGION,70189,0.0
NTUC FairPrice White Sands,NTUC FairPrice White Sands1 Pasir Ris Central Street 3 #B1-10 White Sands Singapore 518457,518457,Authorised Retailer (FairPrice),8,39,47,matched,1.3724564071358,103.949763493981,1 PASIR RIS CENTRAL STREET 3 PASIR RIS LIBRARY SINGAPORE 518457,PASIR RIS,40958.9038011068,39385.0873588398,OK,0,0,29654,29654,residential,EAST REGION,29654,0.00158495
