outlet_name,address,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source
Singapore Pools Anchorvale Road Branch,Singapore Pools Anchorvale Road BranchBlock 308 Anchorvale Road #01-05 Singapore 540308,540308,Branch,7,25,32,matched
Seah Koon Huat - Bukit Merah View,Seah Koon Huat - Bukit Merah ViewBlock 116 Bukit Merah View #01-233 Singapore 151116,151116,Authorised Retailer,7,29,36,matched
Prime Punggol Field,Prime Punggol FieldBlock 108 Punggol Field #01-02 Singapore 820108,820108,Authorised Retailer,7,26,33,matched
NTUC FairPrice Tanjong Pagar Plaza,NTUC FairPrice Tanjong Pagar PlazaBlock 5 Tanjong Pagar Plaza #01-01 Singapore 081005,081005,Authorised Retailer (FairPrice),7,22,29,matched
NTUC FairPrice Bukit Merah Central,NTUC FairPrice Bukit Merah CentralBlock 166 Bukit Merah Central #02-3531 Singapore 150166,150166,Authorised Retailer (FairPrice),7,33,40,matched
Metro Woodlands,Metro Woodlands1 Woodlands Square #01-18/19 Causeway Point Singapore 738099,738099,Authorised Retailer,7,29,36,matched
Livewire (Resorts World Sentosa),Livewire (Resorts World Sentosa)26 Sentosa Gateway #B1-208 Singapore 098138,098138,,7,35,42,scraped
Kis Store,Kis StoreBlock 4 Changi Village Road #01-2074 Singapore 500004,500004,Authorised Retailer,7,23,30,matched
Clifford Gift Shop,Clifford Gift ShopBlock 532 Ang Mo Kio Avenue 10 #01-2459 Singapore 560532,560532,Authorised Retailer,7,48,55,matched
Cheers Changi Village Road,Cheers Changi Village RoadBlock 4 Changi Village Road #01-2074 Singapore 500004,500004,Authorised Retailer,7,39,46,matched
7-Eleven Store Owen Road,7-Eleven Store Owen RoadBlock 45 Owen Road #01-295 Singapore 210045,210045,Authorised Retailer (7-Eleven),7,16,23,matched
Xie Sheng Departmental Service Company,Xie Sheng Departmental Service CompanyBlock 632 Bedok Reservoir Road #01-820 Singapore 470632,470632,Authorised Retailer,6,27,33,matched
Singapore Pools Woodlands N3 Branch,Singapore Pools Woodlands N3 BranchBlock 305 Woodlands Street 31 #01-77 Singapore 730305,730305,Branch,6,47,53,matched
Singapore Pools LOT One Branch,Singapore Pools LOT One Branch21 Choa Chu Kang Avenue 4 #03-09 Lot 1 Shoppers' Mall Singapore 689812,689812,Authorised Retailer (FairPrice),6,21,27,matched
Singapore Pools Jurong West N2 Branch,Singapore Pools Jurong West N2 BranchBlock 276 Jurong West Street 25 #01-05 Singapore 640276,640276,Branch,6,16,22,matched
Singapore Pools Jurong East Branch,Singapore Pools Jurong East BranchBlock 351 Jurong East Street 31 #01-93 Singapore 600351,600351,Branch,6,45,51,matched
Singapore Pools Hougang N3 Branch,Singapore Pools Hougang N3 BranchBlock 322 Hougang Avenue 5 #01-70 Singapore 530322,530322,Branch,6,23,29,matched
Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch,Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch762 Jurong West Street 75 #01-338 Gek Poh Shopping Centre Singapore 640762,640762,,6,43,49,scraped
Singapore Pools Funan Branch,Singapore Pools Funan Branch107 North Bridge Road #B1-02 Funan Singapore 179105,179105,Branch,6,12,18,matched
Singapore Pools Circuit Road 64 Branch,Singapore Pools Circuit Road 64 BranchBlock 64 Circuit Road #01-355 Singapore 370064,370064,Branch,6,14,20,matched
Singapore Pools Bukit Batok Central Branch,Singapore Pools Bukit Batok Central BranchBlock 642 Bukit Batok Central #01-54/56 (part of) Singapore 650642,650642,Branch,6,50,56,matched
Singapore Pools Ang Mo Kio N6 Branch,Singapore Pools Ang Mo Kio N6 BranchBlock 630 Ang Mo Kio Avenue 4 #01-968 Singapore 560630,560630,Branch,6,38,44,matched
NTUC FairPrice Yishun Ring Road,NTUC FairPrice Yishun Ring RoadBlock 849 Yishun Ring Road #01-3701/3703 Singapore 760849,760849,Authorised Retailer (FairPrice),6,30,36,matched
NTUC FairPrice Serangoon North Avenue 1,NTUC FairPrice Serangoon North Avenue 1Block 152B Serangoon North Avenue 1 #01-384 Singapore 552152,552152,Authorised Retailer (FairPrice),6,32,38,matched
NTUC FairPrice Havelock Road,NTUC FairPrice Havelock RoadBlock 50 Havelock Road #01-755 Singapore 160050,160050,Authorised Retailer (FairPrice),6,10,16,matched
NTUC FairPrice Changi Business Park,NTUC FairPrice Changi Business Park8 Changi Business Park Avenue 1 #01-51/#02-51 Singapore 486018,486018,Authorised Retailer (FairPrice),6,23,29,matched
Ng Nam Thye Trading - Taman Jurong,Ng Nam Thye Trading - Taman Jurong399 Yung Sheng Road #01-07 Taman Jurong Shopping Centre Singapore 610399,610399,Authorised Retailer,6,27,33,matched
Li Thoe Trading,Li Thoe TradingBlock 119 Aljunied Avenue 2 #01-78 Singapore 380119,380119,Authorised Retailer,6,32,38,matched
Li Li Cheng Supermarket (Punggol) Pte Ltd,Li Li Cheng Supermarket (Punggol) Pte LtdBlock 273C Punggol Place #01-884 Singapore 823273,823273,Authorised Retailer,6,23,29,matched
Cold Storage Compass One,Cold Storage Compass One1 Sengkang Square #B1-25 Compass One Singapore 545078,545078,Authorised Retailer,6,39,45,matched
Chua Yan Kee,Chua Yan KeeBlk 49 Tanglin Halt Road #01-349 Singapore 142049,142049,,6,8,14,scraped
Chng Siow Eng Agency,Chng Siow Eng Agency625 Elias Road #01-314 Elias Mall Singapore 510625,510625,Authorised Retailer,6,26,32,matched
