outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,x_svy21,y_svy21,planning_area,geocode_status
NTUC FairPrice Limbang Shopping Centre,680533,Authorised Retailer (FairPrice),4,20,24,matched,1.39206782341869,103.743102282335,533 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680533,17960.1078382162,41553.4949440826,,OK
NTUC FairPrice E!Hub @ Downtown East,519599,Authorised Retailer (FairPrice),4,15,19,matched,1.3766980678365,103.95514122442,1 PASIR RIS CLOSE ACES MONTESSORI KIDZ KINDERGARTEN SINGAPORE 519599,41557.3568058563,39854.1394968368,,OK
NTUC FairPrice Clementi Avenue 2,120352,Authorised Retailer (FairPrice),4,19,23,matched,1.31427860227337,103.771350557894,352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352,21103.5526931826,32951.8534610327,,OK
Ng Nam Thye Trading - Ang Mo Kio Avenue 3,569922,Authorised Retailer,4,28,32,matched,1.36929729654979,103.84715944541,51 ANG MO KIO AVENUE 3 51 @ AMK SINGAPORE 569922,29540.3211999806,39035.4580954239,,OK
Lim Heng Ee Trading Pte. Ltd.,380016,Authorised Retailer,4,17,21,matched,1.31543175817283,103.871651573593,16 UPPER BOON KENG ROAD BOON KENG VILLE SINGAPORE 380016,32266.0926993955,33079.3106692117,,OK
Golden Lagoon Trading,730136,Authorised Retailer,4,22,26,matched,1.43832145748732,103.777752029807,136 MARSILING ROAD SINGAPORE 730136,21816.2950316696,46667.8715823255,,OK
Goh Geok Kwee Agency - Bukit Merah,150124,Authorised Retailer,4,21,25,matched,1.28582331821306,103.803532208512,124 BUKIT MERAH LANE 1 SINGAPORE 150124,24685.025577927,29805.348543182,,OK
Giant Beauty World Centre,588177,Authorised Retailer,4,28,32,matched,1.34241264188642,103.776539385406,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,21681.0911870794,36062.7591135893,,OK
Chua Hong Kim Trading,550237,Authorised Retailer,4,34,38,matched,1.35381198342473,103.87013457465,237 SERANGOON AVENUE 3 SINGAPORE 550237,32097.2018299149,37323.1977419816,,OK
Chop Yeo Thong Heng,370076,Authorised Retailer,4,13,17,matched,1.32551693484516,103.889903603926,76 CIRCUIT ROAD MACPHERSON BLOSSOM SINGAPORE 370076,34297.3428838411,34194.5168830398,,OK
Chong Hoe Tong,310021,Authorised Retailer,4,22,26,matched,1.33544818177957,103.857495922448,21 LORONG 7 TOA PAYOH KIM KEAT PALM SINGAPORE 310021,30690.6834952896,35292.6045846585,,OK
Cheng Chew Wah Agency - Bedok South Road,460017,Authorised Retailer,4,23,27,matched,1.32014883000628,103.935563486677,17 BEDOK SOUTH ROAD SINGAPORE 460017,39378.8562403722,33601.1013485529,,OK
Cheers Hougang Avenue 3,530023,Authorised Retailer,4,15,19,matched,1.36486666416769,103.890727960772,23 HOUGANG AVENUE 3 HOUGANG VIEW SINGAPORE 530023,34388.9831999186,38545.6130936015,,OK
7-Eleven Store Plaza Singapura,238839,Authorised Retailer (7-Eleven),4,22,26,matched,1.30082071769235,103.845067272666,68 ORCHARD ROAD GOLDEN VILLAGE (GV PLAZA) SINGAPORE 238839,29307.5237809345,31463.6672937293,,OK
7-Eleven Store Foch Road,209264,Authorised Retailer (7-Eleven),4,13,17,matched,1.31270184017357,103.859968759019,27 FOCH ROAD HOA NAM BUILDING SINGAPORE 209264,30965.9111792706,32777.4334178958,,OK
7-Eleven Store Bedok North Street 2,460123,Authorised Retailer (7-Eleven),4,23,27,matched,1.32919868667839,103.937343347878,123 BEDOK NORTH STREET 2 SINGAPORE 460123,39576.8955716565,34601.7979382593,,OK
Tan Ah Leck Trading - Jurong East Street 31,600352,Authorised Retailer,3,7,10,matched,1.34492289474517,103.730400848037,352 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600352,16546.3794579934,36340.4981624465,,OK
Superbowl Jurong Pte Ltd,618642,Authorised Retailer,3,27,30,matched,1.32547408835086,103.725247683743,3 YUAN CHING ROAD SINGAPORE 618642,15972.7932968754,34189.9696935788,,OK
Singapore Pools Woodlands N8 Branch,730883,Branch,3,40,43,matched,1.44275334327795,103.790548015512,883 WOODLANDS STREET 82 WOODLANDS NORTH PLAZA SINGAPORE 730883,23240.3015716588,47157.8967089206,,OK
Singapore Pools Upper Boon Keng Branch,380018,Branch,3,33,36,matched,1.31480351462869,103.872301458156,18 UPPER BOON KENG ROAD BOON KENG VILLE SINGAPORE 380018,32338.4196809595,33009.8438305017,,OK
Singapore Pools Telok Blangah Branch,090006,Branch,3,24,27,matched,1.27814081311562,103.818484019328,6 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090006,26349.0324393157,28955.8422574177,,OK
